	ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph	log_freqlivres	audio duration
8343	argent	aRZ@	argent	NOM	m	s	515.1	194.39	515.04	194.32		2	3	1	6	4	VCCVCC	VCCV	4	7	6	4	aR-Z@	2	VC-CV	tnegra	@ZRa	ar-gent	ADJ,NOM	100.0	21.0	1.6	1.35	argent	1	5.269506284693917	0.792
11431	avance	av@s	avance	NOM	f	s	69.25	82.3	65.68	77.64		2	5	1	6	4	VCVCCV	VCVC	2	1	6	4	a-v@s	2	V-CVC	ecnava	s@va	a-van-ce	NOM,VER	100.0	26.0	1.7	1.65	avancer	1	4.35208275830081	1.008
11578	avenir	av°niR	avenir	NOM	m	s	72.61	113.72	72.47	113.18		2	3	1	6	6	VCVCVC	VCVCVC	0	0	5	5	a-v°-niR	3	V-CV-CVC	rineva	Rin°va	a-ve-nir	NOM,VER	100.0	19.0	1.85		avenir	1	4.728979471714378	1.08
13988	beauté	bote	beauté	NOM	f	s	72.56	92.64	68.57	87.64		1	14	1	6	4	CVVVCV	CVCV	0	22	5	4	bo-te	2	CV-CV	étuaeb	etob	beau-té	NOM	100.0	23.0	2.05	1.0	beauté	1	4.473237514727265	0.864
14292	besoin	b°zw5	besoin	NOM	m	s	771.24	266.62	758.04	251.76		1	2	1	6	5	CVCVVC	CVCYV	0	0	5	4	b°-zw5	2	CV-CYV	nioseb	5wz°b	be-soin	NOM	96.0	31.0	2.05	2.3	besoin	1	5.5284762527561515	0.936
16248	bouche	buS	bouche	NOM	f	s	90.03	283.45	87.75	267.64		2	6	1	6	3	CVVCCV	CVC	9	23	6	3	buS	1	CVC	ehcuob	Sub	bou-che	NOM,VER	100.0	21.0	1.25	1.0	bouche	1	5.589642793914616	0.912
18563	bureau	byRo	bureau	NOM	m	s	167.13	150.07	156.68	130.07		1	2	1	6	4	CVCVVV	CVCV	2	12	6	4	by-Ro	2	CV-CV	uaerub	oRyb	bu-reau	NOM	100.0	24.0	1.85	1.3	bureau	1	4.868072767075649	0.816
22313	centre	s@tR	centre	NOM	m	s	57.0	84.46	53.46	80.0		2	4	1	6	4	CVCCCV	CVCC	7	11	6	4	s@tR	1	CVCC	ertnec	Rt@s	cen-tre	NOM,VER	92.0	26.0	1.45	1.0	centre	1	4.382026634673881	0.936
22584	chaise	SEz	chaise	NOM	f	s	40.02	118.31	32.7	86.35		1	2	1	6	3	CCVVCV	CVC	2	15	6	3	SEz	1	CVC	esiahc	zES	chai-se	NOM	100.0	14.0	1.8	1.15	chaise	1	4.458408804592688	0.888
22755	chance	S@s	chance	NOM		s	360.6	136.35	334.02	114.05		1	2	1	6	3	CCVCCV	CVC	3	13	6	3	S@s	1	CVC	ecnahc	s@S	chan-ce	NOM	100.0	18.0	1.7	1.1	chance	1	4.736636948730397	0.984
23572	chemin	S°m5	chemin	NOM	m	s	125.18	231.42	114.34	197.5		1	2	1	6	4	CCVCVC	CVCV	0	2	6	4	S°-m5	2	CV-CV	nimehc	5m°S	che-min	NOM	100.0	17.0	1.8	1.9	chemin	1	5.285738584341177	0.864
23683	cheval	S°val	cheval	NOM	m	s	129.12	179.26	85.42	110.27		1	1	1	6	5	CCVCVC	CVCVC	2	1	6	5	S°-val	2	CV-CVC	lavehc	lav°S	che-val	NOM	100.0	23.0	1.9	1.8	cheval	1	4.702931903770587	0.984
